time_s,pull_point_y_m,displacement_m,displacement_in,applied_force_n,applied_force_lbf,target_pull_y_m,base_center_y_m,base_top_y_m
0.0,0.2960367530522281,0.0018720374621808977,0.07370226229058653,-130.9110895646592,-29.42998368510047,0.2941647155900472,-0.07226043642977395,0.003939563670226062
0.004166666666666667,0.2987646615735723,0.004599945983525089,0.1811002355718539,-116.23180213589171,-26.12994859277814,0.29427054892338056,-0.0692438092510886,0.006956190848911414
0.008333333333333333,0.2993593959344217,0.0051946803443744805,0.20451497418797168,-264.3877679051995,-59.436734671336,0.29437638225671386,-0.06151190563733443,0.014688094462665585
0.0125,0.2900776323221211,-0.004087083267926117,-0.1609087900758314,-526.1500726548202,-118.28324174551832,0.2944822155900472,-0.05588191364525782,0.020318086454742194
0.016666666666666666,0.2972581786669348,0.003093463076887626,0.12178988491683566,-118.07410713615337,-26.544115232754805,0.29458804892338053,-0.05394999911004376,0.022250000989956255
0.020833333333333332,0.2682990781774923,-0.025865637412554876,-1.0183321815966486,-77.68888187511882,-17.46515542496621,0.2946938822567139,-0.04558087842299465,0.03061912167700536
0.025,0.27347424078353755,-0.02069047480650965,-0.8145856223035296,-507.504753218461,-114.09160718926854,0.2947997155900472,-0.043443312163253804,0.03275668793674621
0.029166666666666667,0.27503237894633487,-0.019132336643712333,-0.7532416001461549,103.80808764602469,23.336986468934978,0.29490554892338056,-0.04114828058162392,0.035051719518376094
0.03333333333333333,0.2698823485995227,-0.024282366990524495,-0.9559987004143502,-84.3891819273654,-18.971442798164635,0.29501138225671386,-0.035879781588153456,0.040320218511846556
0.0375,0.17622636342996123,-0.11793835216008597,-4.643242211027006,-302.8495713177443,-68.08329204623016,0.2951172155900472,-0.027108810277558022,0.04909118982244199
0.041666666666666664,0.2579348708186176,-0.0362298447714296,-1.426371841394866,-353.49608414857965,-79.46908106743085,0.2952230489233805,-0.0345661604468003,0.041633839653199715
0.04583333333333333,0.3196035893271654,0.02543887373711823,1.0015304620912688,969.5989725709326,217.97452025451724,0.2953288822567139,-0.02668412804509879,0.049515872054901225
0.05,0.2827063764403811,-0.011458339149666097,-0.45111571455378335,-943.3879062010608,-212.0820381263824,0.2954347155900472,-0.001546322969814334,0.07465367713018568
0.05416666666666667,0.23495137589543424,-0.059213339694612954,-2.3312338462446047,-1844.5079296337874,-414.6618782005409,0.29554054892338055,0.01244411141757995,0.08864411151757996
0.058333333333333334,0.3339677578189126,0.03980304222886538,1.5670489066482434,-280.5763061529789,-63.0760628451532,0.29564638225671386,0.014658036969575714,0.09085803706957572
0.0625,0.25631407306311654,-0.037850642526930656,-1.4901827766508133,-225.54758088144789,-50.70511327672006,0.2957522155900472,0.035646838341753466,0.11184683844175347
0.06666666666666667,0.27452410858466747,-0.01964060700537973,-0.7732522443062886,-1641.0605836352447,-368.9250953701085,0.2958580489233805,0.04330769666564274,0.11950769676564275
0.07083333333333333,0.36244063146221306,0.06827591587216586,2.688028183943538,71.8694709337847,16.15689980178031,0.2959638822567139,0.04188244110380825,0.11808244120380826
0.075,0.2896142154344589,-0.004550500155588277,-0.17915354943260936,-183.2335443672704,-41.19253944967302,0.2960697155900472,0.05833353642968117,0.1345335365296812
0.07916666666666666,0.3853672171504462,0.091202501560399,3.590649667732244,-1415.1260469338513,-318.1329909644801,0.29617554892338055,0.06477559798088814,0.14097559808088816
0.08333333333333333,0.3142668293649426,0.020102113774895403,0.7914218021612364,-410.0725301981779,-92.1879721081952,0.29628138225671385,0.08298615036016485,0.15918615046016488
0.0875,0.41109780710940724,0.11693309151936004,4.603665020447246,-1592.8251869628825,-358.0813468241855,0.2963872155900472,0.09050618793984921,0.1667061880398492
0.09166666666666666,0.3412523348590786,0.04708761926903138,1.853843278308322,-548.3282569533021,-123.26909591753707,0.2964930489233805,0.10937458705686441,0.18557458715686442
0.09583333333333333,0.43883188526258604,0.14466716967253884,5.695557861123577,-1708.6166051452092,-384.1122931658045,0.2965988822567139,0.11755679766838495,0.19375679776838495
0.1,0.3690661839142487,0.07490146832420153,2.9488767056772254,-688.6063461052568,-154.80486487987557,0.2967047155900472,0.13514552457790077,0.2113455246779008
