time_s,pull_point_y_m,displacement_m,displacement_in,applied_force_n,applied_force_lbf,target_pull_y_m,base_center_y_m,base_bottom_y_m,base_top_y_m
0.0,0.36803128412541974,-0.00019042840792560245,-0.007497181414393797,6.800736176716794,1.528866312189637,0.36822171253334535,-0.00026868645304341384,-0.07646868655304342,0.0759313136469566
0.004166666666666667,0.36778108154833383,-0.0004406309850115142,-0.017347676575256467,14.545339050731236,3.2699222990260464,0.3683275458666787,-0.0005178429508505753,-0.07671784305085058,0.07568215714914944
0.008333333333333333,0.3624122344635918,-0.005809478069753571,-0.2287196090454162,19.148981342646497,4.304862257081978,0.368433379200012,-0.0008434269857837666,-0.07704342708578378,0.07535657311421624
0.0125,0.3550555663384436,-0.013166146194901751,-0.5183522123977068,40.10958011172382,9.016992313101412,0.3685392125333454,0.0036370396599471116,-0.0725629604400529,0.07983703975994712
0.016666666666666666,0.3080242966287283,-0.060197415904617024,-2.3699770041187804,-491.4583381362025,-110.48422957408211,0.3686450458666787,0.013075014534228338,-0.06312498556577167,0.08927501463422835
0.020833333333333332,0.20188017267905883,-0.1663415398542865,-6.548879521822304,-521.359978063667,-117.20638564313215,0.36875087920001204,0.01605684150918251,-0.0601431585908175,0.09225684160918252
0.025,0.28754236401253624,-0.0806793485208091,-3.1763523039688626,341.2169184812692,76.70861481161299,0.36885671253334534,-0.0007324211891997657,-0.07693242128919978,0.07546757891080025
0.029166666666666667,0.3398262673289788,-0.028395445204366543,-1.117930913557738,1610.7202338011914,362.1043133906307,0.3689625458666787,0.0006802428801576054,-0.0755197572198424,0.07688024298015762
0.03333333333333333,0.29730354076211046,-0.07091817177123488,-2.792054006741531,-408.31108373023613,-91.79198318940999,0.369068379200012,0.019542795242909104,-0.05665720485709091,0.09574279534290911
0.0375,0.3735269882660307,0.005305275732685355,0.2088691233340691,-1247.0883255667654,-280.35660842301326,0.36917421253334537,0.032406450761942096,-0.043793549338057916,0.10860645086194211
0.041666666666666664,0.332505314357617,-0.03571639817572836,-1.4061574084932424,-680.1715746755289,-152.90865282946837,0.3692800458666787,0.052434192149124766,-0.023765807950875247,0.12863419224912478
0.04583333333333333,0.41214726439313415,0.0439255518597888,1.729352435424756,-1401.7805882913822,-315.13281251188187,0.36938587920001204,0.06934617829496365,-0.006853821805036367,0.14554617839496364
0.05,0.3759497771791681,0.007728064645822763,0.30425451361506944,-1141.3373130303469,-256.5828350629461,0.36949171253334534,0.09182933423774532,0.01562933413774531,0.16802933433774533
0.05416666666666667,0.37961735016460757,0.011395637631262223,0.44864715083709544,-1457.3482096226849,-327.624910733953,0.3695975458666787,0.0994107029756209,0.02321070287562088,0.1756107030756209
0.058333333333333334,0.278742449565914,-0.08947926296743136,-3.52280562863903,-144.63976616595937,-32.51631296200046,0.369703379200012,0.10524026349161741,0.029040263391617402,0.1814402635916174
0.0625,0.38023110180454867,0.012009389271203319,0.4728106012284771,-205.20716224060033,-46.13240525985959,0.36980921253334537,0.09421102125627145,0.018011021156271442,0.17041102135627145
0.06666666666666667,0.2814739845125009,-0.08674772802084446,-3.415264882710412,1003.7865836721569,225.6602009732973,0.36991504586667867,0.10010789081456586,0.023907890714565852,0.1763078909145659
0.07083333333333333,0.38632301383827966,0.018101301304934314,0.7126496576745793,-558.7856400230704,-125.62000915304351,0.37002087920001203,0.09427035736517592,0.018070357265175904,0.17047035746517591
0.075,0.2856652378066415,-0.08255647472670385,-3.2502549105001517,665.0567304038043,149.51070066362087,0.37012671253334534,0.10425037021990413,0.02805037011990412,0.18045037031990413
0.07916666666666666,0.39418654483518645,0.0259648323018411,1.0222374921984685,-812.6148688599483,-182.68308981575007,0.3702325458666787,0.10180898806471562,0.025608987964715613,0.17800898816471564
0.08333333333333333,0.3012049546174945,-0.06701675791585082,-2.638455036057119,434.8723369328692,97.76319044930541,0.370338379200012,0.10888982699326658,0.03268982689326656,0.1850898270932666
0.0875,0.3948650469395948,0.02664333440624944,1.0489501734743876,-644.9301464352768,-144.98606459344282,0.37044421253334536,0.10752334600820897,0.031323345908208955,0.18372334610820898
0.09166666666666666,0.46418248254716654,0.0959607700138212,3.7779830714102833,128.76261568448788,28.9469875428212,0.37055004586667867,0.12124385717753848,0.04504385707753847,0.1974438572775385
0.09583333333333333,0.44583079871509057,0.07760908618174522,3.0554758339269776,-1480.3579526865499,-332.7977067531431,0.37065587920001203,0.13633145370203834,0.06013145360203832,0.21253145380203836
0.1,0.4791683731428167,0.11094666060947134,4.367978764152415,-1216.0889102694593,-273.38766263330785,0.37076171253334533,0.14246992123442279,0.06626992113442277,0.2186699213344228
0.10416666666666667,0.43286888528760037,0.06464717275425502,2.5451642816635838,-497.8204198868092,-111.91448244835179,0.3708675458666787,0.15552583940758763,0.07932583930758762,0.23172583950758763
0.10833333333333334,0.49818592231050685,0.1299642097771615,5.1167011723291935,-1315.2255598647469,-295.6744680512995,0.370973379200012,0.161487470402113,0.08528747030211299,0.23768747050211303
0.1125,0.45220491349144776,0.08398320095810241,3.3064252345709613,-617.6643573633917,-138.85647136940477,0.37107921253334536,0.174861867611435,0.09866186751143498,0.251061867711435
0.11666666666666667,0.5172317822757079,0.14901006974236253,5.866538178833171,-1383.3314440738368,-310.985279899236,0.37118504586667866,0.180533330367314,0.10433333026731399,0.256733330467314
0.12083333333333333,0.4704340536453093,0.10221234111196398,4.024107917793858,-651.6603585246917,-146.499076460103,0.371290879200012,0.19309100776529656,0.11689100766529655,0.2692910078652966
0.125,0.5342831015209882,0.1660613889876429,6.537849960143421,-1382.1457232040812,-310.71871924369464,0.37139671253334533,0.19758464961259434,0.12138464951259433,0.27378464971259436
0.12916666666666665,0.4860034802220409,0.11778176768869553,4.637077468058879,-627.398224834094,-141.04473182776883,0.3715025458666787,0.20866043434202808,0.13246043424202808,0.2848604344420281
0.13333333333333333,0.54817945277068,0.17995774023733468,7.084950403044673,-1334.4340309120441,-299.99270412600936,0.371608379200012,0.21148100086228613,0.1352810007622861,0.28768100096228616
0.1375,0.49807526089786497,0.12985354836451962,5.1123444237999855,-564.5596214807966,-126.91805182203395,0.37171421253334536,0.22073221501785217,0.14453221491785218,0.29693221511785217
0.14166666666666666,0.5583513523664647,0.19012963983311937,7.485418891067692,-1256.544168846106,-282.482366556761,0.37182004586667866,0.2216529004580709,0.1454529003580709,0.2978529005580709
0.14583333333333334,0.5062984539110658,0.1380767413777204,5.436092180225214,-477.2935256245547,-107.29985304412891,0.371925879200012,0.22895540803105308,0.15275540793105308,0.3051554081310531
0.15,0.5646275616774502,0.19640584914410486,7.7325137458309,-1160.1973963536911,-260.8227504616451,0.3720317125333453,0.22792910976905636,0.15172910966905634,0.3041291098690564
0.15416666666666667,0.5106459482040318,0.1424242356706864,5.60725337286167,-375.70198356346157,-84.46116584547536,0.3721375458666787,0.23330290232401912,0.15710290222401913,0.3095029024240191
0.15833333333333333,0.5670974860752813,0.19887577354193597,7.829754863855747,-1053.736167621083,-236.88931414914012,0.372243379200012,0.23039903416688748,0.15419903406688745,0.3065990342668875
0.1625,0.5112986255441943,0.1430769130108489,5.632949331135784,-266.94257681885523,-60.0110785630374,0.37234921253334535,0.23395557966418162,0.15775557956418162,0.3101555797641816
0.16666666666666666,0.5660140902258619,0.19779237769251656,7.787101483957345,-943.0509503202111,-212.00628743093725,0.37245504586667866,0.22931563831746807,0.15311563821746804,0.3055156384174681
0.17083333333333334,0.5085641001799135,0.14034238764656815,5.5252908522270925,-156.04323076001629,-35.07991378506867,0.372560879200012,0.2312210542999009,0.15502105419990087,0.3074210543999009
0.175,0.5617261763908747,0.1935044638575294,7.61828597864289,-832.2606591611564,-187.09963916972887,0.3726667125333453,0.22502772448248093,0.14882772438248093,0.3012277245824809
0.17916666666666667,0.5028203724515619,0.1345986599182165,5.299159839299863,-46.49666856449994,-10.452866917656225,0.3727725458666787,0.22547732657154923,0.14927732647154923,0.30167732667154923
0.18333333333333332,0.5546317258906341,0.1864100133572888,7.338976903830268,-724.2076365095688,-162.80835334866512,0.372878379200012,0.2179332739822403,0.14173327388224027,0.2941332740822403
0.1875,0.49447728580795725,0.1262555732746119,4.970691861205193,59.308956526362294,13.333183833055354,0.37298421253334535,0.2171342399279446,0.14093423982794456,0.2933342400279446
0.19166666666666665,0.5451462439521524,0.17692453141880704,6.9655327330239,-620.8157031565079,-139.56492208649786,0.37309004586667865,0.2084477920437585,0.13224779194375846,0.2846477921437585
0.19583333333333333,0.4839506255296494,0.11572891299630406,4.556256417177325,159.77934016964002,35.91982459275215,0.373195879200012,0.2066075796496368,0.13040757954963678,0.28280757974963683
0.2,0.5336817264175031,0.16546001388415776,6.514173774966841,-523.348304163656,-117.65337913220884,0.3733017125333453,0.19698327450910924,0.12078327440910923,0.27318327460910924
0.20416666666666666,0.47164513971614774,0.1034234271828024,4.071788471763874,253.89036688734382,57.076825043214996,0.3734075458666787,0.19430209383613511,0.1181020937361351,0.2705020939361351
0.20833333333333334,0.5206330993331858,0.15241138679984045,6.000448299206317,-432.5942567096037,-97.2510576420161,0.37351337920001204,0.1839346474247919,0.10773464732479189,0.26013464752479193
0.2125,0.4579438160154141,0.08972210348206877,3.5323662788216055,341.02735267950845,76.66599872407124,0.37361921253334535,0.18060077013540146,0.10440077003540145,0.2568007702354015
0.21666666666666667,0.506369878757654,0.1381481662243087,5.438904182059398,-349.00126191905565,-78.45860483258917,0.3737250458666787,0.16967142684926015,0.09347142674926014,0.24587142694926017
0.22083333333333333,0.44320151065751034,0.074979798124165,2.9519605560694884,420.8695775968837,94.61524492249886,0.373830879200012,0.1658584647774977,0.08965846467749768,0.24205846487749771
0.225,0.49123144605755253,0.12300973352420719,4.842902894653826,-272.7718487981564,-61.32155103574654,0.3739367125333454,0.1545329941491587,0.07833299404915868,0.23073299424915872
0.22916666666666666,0.42774157665255824,0.059519864119212895,2.3433017369768856,493.3073370936688,110.89990107550311,0.3740425458666787,0.1503985307725456,0.0741985306725456,0.2265985308725456
0.23333333333333334,0.47552480027013866,0.10730308773679331,4.224531013259579,-203.93236830488922,-45.84582018250208,0.37414837920001204,0.13882634836174476,0.06262634826174475,0.2150263484617448
0.2375,0.41185453326639754,0.04363282073305219,1.7178275879154408,558.382289476715,125.52933234301854,0.37425421253334534,0.13451148738638494,0.058311487286384925,0.21071148748638496
0.24166666666666667,0.45952398342331663,0.09130227088997128,3.5945775940933578,-142.38269376362152,-32.00890290073071,0.3743600458666787,0.12282553151492275,0.04662553141492273,0.19902553161492276
0.24583333333333332,0.3957981017473519,0.02757638921400657,1.0856846147246682,616.2444624134498,138.53726628639532,0.374465879200012,0.11845505586733929,0.042255055767339275,0.19465505596733929
0.25,0.44347061353855105,0.0752489010052057,2.962555157685264,-87.93212977310165,-19.767929158823023,0.37457171253334537,0.10677216163015718,0.03057216153015717,0.18297216173015718
0.25416666666666665,0.3797981340039952,0.011576421470649856,0.4557646248287345,667.1211569321831,149.9748022095733,0.3746775458666787,0.10245508812398259,0.026255088023982576,0.1786550882239826
0.2583333333333333,0.4275935610575396,0.05937184852419425,2.33747435134623,-40.32547210900577,-9.065526764834116,0.37478337920001203,0.09089510914914571,0.0146951090491457,0.16709510924914572
0.2625,0.3640877917684597,-0.004133920764885668,-0.1627527860191208,709.5507119870813,159.51334563766824,0.37488921253334534,0.08674474588844704,0.010544745788447024,0.16294474598844705
0.26666666666666666,0.4121047966706285,0.043883084137283146,1.7276804778457933,-0.4382536758619153,-0.09852334568020717,0.3749950458666787,0.07540634476223461,-0.0007936553377654032,0.15160634486223462
0.2708333333333333,0.3488508279277336,-0.01937088460561176,-0.7626332521894394,744.8246936938983,167.4432521841065,0.375100879200012,0.07150778204772096,-0.004692218052279054,0.14770778214772096
0.275,0.3971627272779734,0.02894101474462807,1.1394100293160658,32.832413823015855,7.381020250974025,0.37520671253334537,0.06046427536957952,-0.015735724730420494,0.13666427546957954
