1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress,moisture,beam_type
1,(s),(in),(lbf),(mm),(%),(MPa),(pct),(cat)
1,0,0,-0.00084,0,0,-0.0001,5,Ibeam
1,0.05,0.00269,0.07433,0.0684,0.0673,0.0055,5,Ibeam
1,0.1,0.01918,0.05462,0.4872,0.4795,0.0041,5,Ibeam
1,0.15,0.04407,0.03045,1.1193,1.1017,0.0023,5,Ibeam
1,0.2,0.06924,0.04536,1.7587,1.731,0.0034,5,Ibeam
1,0.25,0.09429,0.0653,2.3949,2.3572,0.0049,5,Ibeam
1,0.3,0.1193,0.08343,3.0301,2.9824,0.0062,5,Ibeam
1,0.35,0.1443,0.09607,3.6652,3.6075,0.0072,5,Ibeam
1,0.4,0.1693,0.11353,4.3002,4.2325,0.0085,5,Ibeam
1,0.45,0.1943,0.12606,4.9352,4.8575,0.0094,5,Ibeam
1,0.5,0.2193,0.14529,5.5702,5.4825,0.0108,5,Ibeam
1,0.55,0.2443,0.16456,6.2052,6.1075,0.0123,5,Ibeam
1,0.6,0.2693,0.18055,6.8402,6.7325,0.0135,5,Ibeam
1,0.65,0.2943,0.20303,7.4752,7.3574,0.0151,5,Ibeam
1,0.7,0.3193,0.15412,8.1102,7.9824,0.0115,5,Ibeam
1,0.75,0.3443,0.10274,8.7452,8.6075,0.0077,5,Ibeam
1,0.8,0.3693,0.13738,9.3802,9.2325,0.0102,5,Ibeam
1,0.85,0.3943,0.1485,10.0152,9.8575,0.0111,5,Ibeam
1,0.9,0.4193,0.16211,10.6502,10.4824,0.0121,5,Ibeam
1,0.95,0.4443,0.16286,11.2852,11.1075,0.0121,5,Ibeam
1,1,0.4693,0.17138,11.9202,11.7325,0.0128,5,Ibeam
1,1.05,0.4943,0.14966,12.5552,12.3575,0.0112,5,Ibeam
1,1.1,0.5193,0.17469,13.1902,12.9824,0.013,5,Ibeam
1,1.15,0.5443,0.19392,13.8252,13.6075,0.0145,5,Ibeam
1,1.2,0.5693,0.19477,14.4602,14.2325,0.0145,5,Ibeam
1,1.25,0.5943,0.21502,15.0952,14.8575,0.016,5,Ibeam
1,1.3,0.6193,0.20219,15.7302,15.4825,0.0151,5,Ibeam
1,1.35,0.6443,0.18904,16.3652,16.1074,0.0141,5,Ibeam
1,1.4,0.6693,0.21691,17.0002,16.7325,0.0162,5,Ibeam
1,1.45,0.6943,0.24353,17.6352,17.3575,0.0182,5,Ibeam
1,1.5,0.7193,0.25984,18.2702,17.9825,0.0194,5,Ibeam
1,1.55,0.7443,0.25152,18.9052,18.6074,0.0187,5,Ibeam
1,1.6,0.7693,0.28231,19.5402,19.2325,0.021,5,Ibeam
1,1.65,0.7943,0.25391,20.1752,19.8575,0.0189,5,Ibeam
1,1.7,0.8193,0.25923,20.8102,20.4825,0.0193,5,Ibeam
1,1.75,0.8443,0.25558,21.4451,21.1074,0.0191,5,Ibeam
1,1.8,0.8693,0.27534,22.0802,21.7325,0.0205,5,Ibeam
1,1.85,0.8943,0.2659,22.7152,22.3575,0.0198,5,Ibeam
1,1.9,0.9193,0.27033,23.3502,22.9825,0.0202,5,Ibeam
1,1.95,0.9443,0.28231,23.9852,23.6074,0.021,5,Ibeam
1,2,0.9693,0.27126,24.6202,24.2325,0.0202,5,Ibeam
1,2.05,0.9943,0.24316,25.2552,24.8575,0.0181,5,Ibeam
1,2.1,1.0193,0.25866,25.8902,25.4825,0.0193,5,Ibeam
1,2.15,1.0443,0.27996,26.5252,26.1075,0.0209,5,Ibeam
1,2.2,1.0693,0.28203,27.1602,26.7324,0.021,5,Ibeam
1,2.25,1.0943,0.29685,27.7952,27.3575,0.0221,5,Ibeam
1,2.3,1.1193,0.27537,28.4302,27.9825,0.0205,5,Ibeam
1,2.35,1.1443,0.2826,29.0652,28.6074,0.0211,5,Ibeam
1,2.4,1.1693,0.28501,29.7002,29.2324,0.0212,5,Ibeam
1,2.45,1.1943,0.3017,30.3352,29.8575,0.0225,5,Ibeam
1,2.5,1.2193,0.31596,30.9702,30.4825,0.0236,5,Ibeam
1,2.55,1.2443,0.33481,31.6052,31.1075,0.025,5,Ibeam
