1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress,moisture,beam_type
1,(s),(in),(lbf),(mm),(%),(MPa),(pct),(cat)
1,0,0,-0.00295,0,0,-0.0002,15,Ibeam
1,0.05,0.00269,0.07911,0.0683,0.0673,0.0059,15,Ibeam
1,0.1,0.01919,0.07002,0.4874,0.4797,0.0052,15,Ibeam
1,0.15,0.04408,0.07141,1.1197,1.1021,0.0053,15,Ibeam
1,0.2,0.06925,0.1026,1.759,1.7313,0.0076,15,Ibeam
1,0.25,0.0943,0.12839,2.3951,2.3574,0.0096,15,Ibeam
1,0.3,0.11931,0.17011,3.0303,2.9826,0.0127,15,Ibeam
1,0.35,0.14431,0.20544,3.6654,3.6077,0.0153,15,Ibeam
1,0.4,0.16931,0.23849,4.3004,4.2327,0.0178,15,Ibeam
1,0.45,0.19431,0.27062,4.9354,4.8577,0.0202,15,Ibeam
1,0.5,0.21931,0.30009,5.5704,5.4827,0.0224,15,Ibeam
1,0.55,0.24431,0.26403,6.2054,6.1077,0.0197,15,Ibeam
1,0.6,0.26931,0.22555,6.8404,6.7327,0.0168,15,Ibeam
1,0.65,0.29431,0.28875,7.4754,7.3577,0.0215,15,Ibeam
1,0.7,0.31931,0.29696,8.1104,7.9827,0.0221,15,Ibeam
1,0.75,0.34431,0.25381,8.7454,8.6077,0.0189,15,Ibeam
1,0.8,0.36931,0.32531,9.3804,9.2327,0.0242,15,Ibeam
1,0.85,0.39431,0.23898,10.0154,9.8577,0.0178,15,Ibeam
1,0.9,0.41931,0.17093,10.6504,10.4826,0.0127,15,Ibeam
1,0.95,0.44431,0.22312,11.2854,11.1077,0.0166,15,Ibeam
1,1,0.46931,0.14581,11.9204,11.7327,0.0109,15,Ibeam
1,1.05,0.49431,0.19688,12.5554,12.3577,0.0147,15,Ibeam
1,1.1,0.51931,0.19645,13.1904,12.9827,0.0146,15,Ibeam
1,1.15,0.54431,0.22043,13.8254,13.6077,0.0164,15,Ibeam
1,1.2,0.56931,0.27105,14.4604,14.2327,0.0202,15,Ibeam
1,1.25,0.59431,0.2393,15.0954,14.8577,0.0178,15,Ibeam
1,1.3,0.61931,0.14175,15.7304,15.4827,0.0106,15,Ibeam
1,1.35,0.64431,0.19691,16.3654,16.1077,0.0147,15,Ibeam
1,1.4,0.66931,0.25108,17.0004,16.7327,0.0187,15,Ibeam
1,1.45,0.69431,0.30276,17.6354,17.3577,0.0226,15,Ibeam
1,1.5,0.71931,0.33241,18.2704,17.9827,0.0248,15,Ibeam
1,1.55,0.74431,0.37439,18.9054,18.6076,0.0279,15,Ibeam
1,1.6,0.76931,0.29703,19.5404,19.2327,0.0221,15,Ibeam
1,1.65,0.79431,0.34955,20.1754,19.8577,0.0261,15,Ibeam
1,1.7,0.81931,0.40614,20.8104,20.4827,0.0303,15,Ibeam
1,1.75,0.84431,0.43554,21.4454,21.1076,0.0325,15,Ibeam
1,1.8,0.86931,0.47684,22.0804,21.7327,0.0355,15,Ibeam
1,1.85,0.89431,0.43728,22.7154,22.3577,0.0326,15,Ibeam
1,1.9,0.91931,0.47664,23.3504,22.9827,0.0355,15,Ibeam
1,1.95,0.94431,0.43987,23.9854,23.6077,0.0328,15,Ibeam
1,2,0.96931,0.30977,24.6204,24.2327,0.0231,15,Ibeam
1,2.05,0.99431,0.3786,25.2554,24.8577,0.0282,15,Ibeam
1,2.1,1.01931,0.42781,25.8904,25.4827,0.0319,15,Ibeam
1,2.15,1.04431,0.47324,26.5254,26.1077,0.0353,15,Ibeam
1,2.2,1.06931,0.50849,27.1604,26.7327,0.0379,15,Ibeam
1,2.25,1.09431,0.4895,27.7954,27.3577,0.0365,15,Ibeam
1,2.3,1.11931,0.53311,28.4304,27.9827,0.0397,15,Ibeam
1,2.35,1.14431,0.54309,29.0654,28.6077,0.0405,15,Ibeam
1,2.4,1.16931,0.54477,29.7004,29.2326,0.0406,15,Ibeam
1,2.45,1.19431,0.56577,30.3354,29.8577,0.0422,15,Ibeam
1,2.5,1.21931,0.61005,30.9704,30.4827,0.0455,15,Ibeam
1,2.55,1.24431,0.65331,31.6054,31.1077,0.0487,15,Ibeam
1,2.6,1.26931,0.60614,32.2404,31.7327,0.0452,15,Ibeam
1,2.65,1.29431,0.43717,32.8754,32.3577,0.0326,15,Ibeam
1,2.7,1.31931,0.50745,33.5104,32.9827,0.0378,15,Ibeam
1,2.75,1.34431,0.55763,34.1454,33.6077,0.0416,15,Ibeam
1,2.8,1.36931,0.40146,34.7804,34.2327,0.0299,15,Ibeam
1,2.85,1.39431,0.43045,35.4154,34.8577,0.0321,15,Ibeam
1,2.9,1.41931,0.48266,36.0504,35.4827,0.036,15,Ibeam
1,2.95,1.44431,0.52826,36.6854,36.1077,0.0394,15,Ibeam
1,3,1.46931,0.57909,37.3204,36.7327,0.0432,15,Ibeam
1,3.05,1.49431,0.61294,37.9554,37.3577,0.0457,15,Ibeam
1,3.1,1.51931,0.61185,38.5904,37.9827,0.0456,15,Ibeam
1,3.15,1.54431,0.62229,39.2254,38.6077,0.0464,15,Ibeam
1,3.2,1.56931,0.66316,39.8604,39.2327,0.0494,15,Ibeam
1,3.25,1.59431,0.7063,40.4954,39.8577,0.0526,15,Ibeam
1,3.3,1.61931,0.67753,41.1304,40.4827,0.0505,15,Ibeam
1,3.35,1.64431,0.73198,41.7654,41.1077,0.0546,15,Ibeam
1,3.4,1.66931,0.79703,42.4004,41.7327,0.0594,15,Ibeam
1,3.45,1.69431,0.68426,43.0354,42.3577,0.051,15,Ibeam
1,3.5,1.71931,0.63579,43.6704,42.9827,0.0474,15,Ibeam
1,3.55,1.74431,0.6987,44.3054,43.6077,0.0521,15,Ibeam
1,3.6,1.76931,0.73049,44.9404,44.2327,0.0544,15,Ibeam
1,3.65,1.79431,0.77366,45.5754,44.8577,0.0577,15,Ibeam
1,3.7,1.81931,0.77196,46.2104,45.4827,0.0575,15,Ibeam
1,3.75,1.84431,0.72493,46.8454,46.1077,0.054,15,Ibeam
1,3.8,1.86931,0.76336,47.4804,46.7327,0.0569,15,Ibeam
1,3.85,1.89431,0.81688,48.1154,47.3577,0.0609,15,Ibeam
1,3.9,1.91931,0.705,48.7504,47.9827,0.0525,15,Ibeam
1,3.95,1.94431,0.7482,49.3854,48.6077,0.0558,15,Ibeam
1,4,1.96931,0.7043,50.0204,49.2327,0.0525,15,Ibeam
1,4.05,1.99431,0.74354,50.6554,49.8577,0.0554,15,Ibeam
1,4.1,2.01931,0.75621,51.2904,50.4827,0.0564,15,Ibeam
1,4.15,2.04431,0.8121,51.9255,51.1077,0.0605,15,Ibeam
1,4.2,2.06931,0.85734,52.5604,51.7327,0.0639,15,Ibeam
1,4.25,2.09431,0.84412,53.1954,52.3577,0.0629,15,Ibeam
1,4.3,2.11931,0.83595,53.8304,52.9827,0.0623,15,Ibeam
1,4.35,2.14431,0.81077,54.4654,53.6077,0.0604,15,Ibeam
1,4.4,2.16931,0.8558,55.1004,54.2327,0.0638,15,Ibeam
