1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress,moisture,beam_type
1,(s),(in),(lbf),(mm),(%),(MPa),(pct),(cat)
1,0,0,0.00518,0,0,0.0004,10,Circle
1,0.05,0.00269,0.07784,0.0682,0.0671,0.0058,10,Circle
1,0.1,0.01914,0.07552,0.4862,0.4785,0.0056,10,Circle
1,0.15,0.04405,0.07432,1.1189,1.1013,0.0055,10,Circle
1,0.2,0.0692,0.10583,1.7576,1.7299,0.0079,10,Circle
1,0.25,0.09424,0.14596,2.3936,2.3559,0.0109,10,Circle
1,0.3,0.11924,0.18727,3.0288,2.9811,0.014,10,Circle
1,0.35,0.14425,0.2155,3.6639,3.6062,0.0161,10,Circle
1,0.4,0.16925,0.22787,4.2989,4.2312,0.017,10,Circle
1,0.45,0.19425,0.17733,4.9338,4.8561,0.0132,10,Circle
1,0.5,0.21924,0.22611,5.5688,5.4811,0.0169,10,Circle
1,0.55,0.24425,0.24867,6.2038,6.1061,0.0185,10,Circle
1,0.6,0.26925,0.25091,6.8388,6.7311,0.0187,10,Circle
1,0.65,0.29424,0.28003,7.4738,7.3561,0.0209,10,Circle
1,0.7,0.31924,0.31172,8.1088,7.9811,0.0232,10,Circle
1,0.75,0.34425,0.34572,8.7439,8.6062,0.0258,10,Circle
1,0.8,0.36925,0.36862,9.3788,9.2312,0.0275,10,Circle
1,0.85,0.39425,0.39865,10.0138,9.8561,0.0297,10,Circle
1,0.9,0.41924,0.43008,10.6488,10.4811,0.0321,10,Circle
1,0.95,0.44425,0.4744,11.2838,11.1061,0.0354,10,Circle
1,1,0.46925,0.51538,11.9189,11.7312,0.0384,10,Circle
1,1.05,0.49425,0.23912,12.5538,12.3561,0.0178,10,Circle
1,1.1,0.51924,0.14503,13.1888,12.9811,0.0108,10,Circle
1,1.15,0.54425,0.21419,13.8238,13.6061,0.016,10,Circle
1,1.2,0.56925,0.26208,14.4588,14.2311,0.0195,10,Circle
1,1.25,0.59425,0.30381,15.0938,14.8561,0.0226,10,Circle
1,1.3,0.61925,0.31859,15.7288,15.4811,0.0237,10,Circle
1,1.35,0.64424,0.31503,16.3638,16.1061,0.0235,10,Circle
1,1.4,0.66925,0.30659,16.9988,16.7311,0.0229,10,Circle
1,1.45,0.69425,0.35654,17.6338,17.3561,0.0266,10,Circle
1,1.5,0.71924,0.33244,18.2688,17.9811,0.0248,10,Circle
1,1.55,0.74424,0.3621,18.9038,18.6061,0.027,10,Circle
