1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress,moisture,beam_type
1,(s),(in),(lbf),(mm),(%),(MPa),(pct),(cat)
1,0,0,-0.00096,0,0,-0.0001,10,Square
1,0.05,0.00269,0.07523,0.0683,0.0672,0.0056,10,Square
1,0.1,0.01918,0.06899,0.4871,0.4794,0.0051,10,Square
1,0.15,0.04409,0.04702,1.1199,1.1022,0.0035,10,Square
1,0.2,0.06923,0.07177,1.7585,1.7308,0.0053,10,Square
1,0.25,0.09427,0.09118,2.3946,2.3568,0.0068,10,Square
1,0.3,0.11928,0.11876,3.0298,2.9821,0.0089,10,Square
1,0.35,0.14429,0.14006,3.6649,3.6071,0.0104,10,Square
1,0.4,0.16929,0.16813,4.2999,4.2321,0.0125,10,Square
1,0.45,0.19428,0.19991,4.9348,4.8571,0.0149,10,Square
1,0.5,0.21928,0.23374,5.5698,5.4821,0.0174,10,Square
1,0.55,0.24429,0.20414,6.2048,6.1071,0.0152,10,Square
1,0.6,0.26928,0.24069,6.8398,6.7321,0.0179,10,Square
1,0.65,0.29428,0.26287,7.4748,7.3571,0.0196,10,Square
1,0.7,0.31928,0.17348,8.1098,7.9821,0.0129,10,Square
1,0.75,0.34429,0.21039,8.7449,8.6071,0.0157,10,Square
1,0.8,0.36929,0.23607,9.3798,9.2321,0.0176,10,Square
1,0.85,0.39428,0.19485,10.0148,9.8571,0.0145,10,Square
1,0.9,0.41928,0.20373,10.6498,10.4821,0.0152,10,Square
1,0.95,0.44428,0.22164,11.2848,11.1071,0.0165,10,Square
1,1,0.46929,0.22765,11.9199,11.7321,0.017,10,Square
1,1.05,0.49428,0.24382,12.5548,12.3571,0.0182,10,Square
1,1.1,0.51928,0.25909,13.1898,12.9821,0.0193,10,Square
1,1.15,0.54428,0.28369,13.8248,13.6071,0.0211,10,Square
1,1.2,0.56928,0.29232,14.4598,14.2321,0.0218,10,Square
1,1.25,0.59428,0.24728,15.0948,14.8571,0.0184,10,Square
1,1.3,0.61928,0.29437,15.7298,15.4821,0.0219,10,Square
1,1.35,0.64428,0.30305,16.3648,16.1071,0.0226,10,Square
1,1.4,0.66928,0.27297,16.9998,16.7321,0.0203,10,Square
1,1.45,0.69428,0.32645,17.6348,17.3571,0.0243,10,Square
1,1.5,0.71928,0.367,18.2698,17.9821,0.0274,10,Square
1,1.55,0.74428,0.39923,18.9048,18.6071,0.0298,10,Square
1,1.6,0.76929,0.29806,19.5399,19.2321,0.0222,10,Square
1,1.65,0.79428,0.3315,20.1748,19.8571,0.0247,10,Square
1,1.7,0.81928,0.38767,20.8098,20.4821,0.0289,10,Square
1,1.75,0.84428,0.42537,21.4448,21.1071,0.0317,10,Square
1,1.8,0.86928,0.45674,22.0798,21.7321,0.034,10,Square
1,1.85,0.89429,0.50275,22.7149,22.3571,0.0375,10,Square
1,1.9,0.91928,0.47484,23.3498,22.9821,0.0354,10,Square
1,1.95,0.94428,0.51071,23.9848,23.6071,0.0381,10,Square
1,2,0.96928,0.48821,24.6198,24.2321,0.0364,10,Square
1,2.05,0.99429,0.56624,25.2548,24.8571,0.0422,10,Square
1,2.1,1.01928,0.54034,25.8898,25.4821,0.0403,10,Square
1,2.15,1.04428,0.43081,26.5248,26.1071,0.0321,10,Square
1,2.2,1.06928,0.4927,27.1598,26.7321,0.0367,10,Square
1,2.25,1.09428,0.30391,27.7948,27.3571,0.0227,10,Square
1,2.3,1.11928,0.311,28.4298,27.9821,0.0232,10,Square
1,2.35,1.14428,0.36782,29.0648,28.6071,0.0274,10,Square
1,2.4,1.16928,0.41495,29.6998,29.2321,0.0309,10,Square
1,2.45,1.19429,0.46038,30.3349,29.8571,0.0343,10,Square
1,2.5,1.21928,0.50975,30.9698,30.4821,0.038,10,Square
1,2.55,1.24428,0.40774,31.6048,31.1071,0.0304,10,Square
1,2.6,1.26928,0.46277,32.2398,31.7321,0.0345,10,Square
1,2.65,1.29428,0.51812,32.8748,32.3571,0.0386,10,Square
1,2.7,1.31929,0.56891,33.5098,32.9821,0.0424,10,Square
1,2.75,1.34428,0.5929,34.1448,33.6071,0.0442,10,Square
1,2.8,1.36928,0.64235,34.7798,34.2321,0.0479,10,Square
1,2.85,1.39428,0.68909,35.4148,34.8571,0.0514,10,Square
1,2.9,1.41928,0.74574,36.0498,35.4821,0.0556,10,Square
1,2.95,1.44428,0.80207,36.6848,36.1071,0.0598,10,Square
1,3,1.46928,0.64719,37.3198,36.7321,0.0482,10,Square
1,3.05,1.49428,0.53089,37.9548,37.3571,0.0396,10,Square
1,3.1,1.51928,0.61199,38.5898,37.9821,0.0456,10,Square
1,3.15,1.54428,0.67002,39.2248,38.6071,0.0499,10,Square
1,3.2,1.56928,0.7245,39.8598,39.2321,0.054,10,Square
1,3.25,1.59428,0.76912,40.4948,39.8571,0.0573,10,Square
1,3.3,1.61929,0.61718,41.1299,40.4821,0.046,10,Square
1,3.35,1.64428,0.58517,41.7648,41.1071,0.0436,10,Square
1,3.4,1.66928,0.66335,42.3998,41.7321,0.0494,10,Square
1,3.45,1.69428,0.71158,43.0348,42.3571,0.053,10,Square
1,3.5,1.71928,0.73626,43.6698,42.9821,0.0549,10,Square
1,3.55,1.74429,0.64208,44.3048,43.6071,0.0479,10,Square
1,3.6,1.76928,0.6782,44.9398,44.2321,0.0506,10,Square
1,3.65,1.79428,0.74148,45.5748,44.8571,0.0553,10,Square
1,3.7,1.81928,0.80187,46.2098,45.4821,0.0598,10,Square
1,3.75,1.84428,0.84381,46.8448,46.1071,0.0629,10,Square
