1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress,moisture,beam_type
1,(s),(in),(lbf),(mm),(%),(MPa),(pct),(cat)
1,0,0,0.0005,0,0,0,5,Circle
1,0.05,0.00269,0.07235,0.0684,0.0673,0.0054,5,Circle
1,0.1,0.01916,0.06655,0.4867,0.4791,0.005,5,Circle
1,0.15,0.04405,0.05464,1.1188,1.1012,0.0041,5,Circle
1,0.2,0.06922,0.06714,1.7583,1.7306,0.005,5,Circle
1,0.25,0.09427,0.09002,2.3944,2.3567,0.0067,5,Circle
1,0.3,0.11928,0.10325,3.0296,2.9819,0.0077,5,Circle
1,0.35,0.14428,0.09122,3.6647,3.607,0.0068,5,Circle
1,0.4,0.16928,0.11323,4.2997,4.232,0.0084,5,Circle
1,0.45,0.19428,0.10756,4.9347,4.857,0.008,5,Circle
1,0.5,0.21928,0.1271,5.5697,5.482,0.0095,5,Circle
1,0.55,0.24428,0.11253,6.2047,6.107,0.0084,5,Circle
1,0.6,0.26928,0.12189,6.8397,6.732,0.0091,5,Circle
1,0.65,0.29428,0.14824,7.4747,7.357,0.011,5,Circle
1,0.7,0.31928,0.13944,8.1097,7.982,0.0104,5,Circle
1,0.75,0.34428,0.14566,8.7447,8.607,0.0109,5,Circle
1,0.8,0.36928,0.15292,9.3797,9.232,0.0114,5,Circle
1,0.85,0.39428,0.14514,10.0147,9.857,0.0108,5,Circle
1,0.9,0.41928,0.16304,10.6497,10.482,0.0122,5,Circle
1,0.95,0.44428,0.18938,11.2847,11.107,0.0141,5,Circle
1,1,0.46928,0.17085,11.9197,11.732,0.0127,5,Circle
1,1.05,0.49428,0.16656,12.5547,12.357,0.0124,5,Circle
1,1.1,0.51928,0.19079,13.1897,12.982,0.0142,5,Circle
1,1.15,0.54428,0.20238,13.8247,13.607,0.0151,5,Circle
1,1.2,0.56928,0.20335,14.4597,14.232,0.0152,5,Circle
1,1.25,0.59428,0.16456,15.0947,14.857,0.0123,5,Circle
1,1.3,0.61928,0.19642,15.7297,15.482,0.0146,5,Circle
