1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress,moisture,beam_type
1,(s),(in),(lbf),(mm),(%),(MPa),(pct),(cat)
1,0,0,0.00488,0,0,0.0004,15,Circle
1,0.05,0.00268,0.07982,0.0682,0.0671,0.0059,15,Circle
1,0.1,0.01917,0.09268,0.4868,0.4792,0.0069,15,Circle
1,0.15,0.04408,0.05402,1.1197,1.102,0.004,15,Circle
1,0.2,0.06922,-0.001,1.7583,1.7306,-0.0001,15,Circle
1,0.25,0.09426,0.05401,2.3943,2.3566,0.004,15,Circle
1,0.3,0.11927,0.09226,3.0295,2.9818,0.0069,15,Circle
1,0.35,0.14428,0.10741,3.6646,3.6069,0.008,15,Circle
1,0.4,0.16928,0.05949,4.2996,4.2319,0.0044,15,Circle
1,0.45,0.19427,0.0815,4.9345,4.8568,0.0061,15,Circle
1,0.5,0.21927,0.09513,5.5695,5.4818,0.0071,15,Circle
1,0.55,0.24427,0.12005,6.2046,6.1069,0.0089,15,Circle
1,0.6,0.26927,0.14347,6.8396,6.7319,0.0107,15,Circle
1,0.65,0.29427,0.15258,7.4745,7.3568,0.0114,15,Circle
1,0.7,0.31927,0.13711,8.1095,7.9818,0.0102,15,Circle
1,0.75,0.34428,0.19124,8.7446,8.6069,0.0143,15,Circle
1,0.8,0.36927,0.18534,9.3796,9.2319,0.0138,15,Circle
1,0.85,0.39427,0.20288,10.0146,9.8568,0.0151,15,Circle
1,0.9,0.41927,0.21253,10.6495,10.4818,0.0158,15,Circle
1,0.95,0.44427,0.25647,11.2846,11.1068,0.0191,15,Circle
1,1,0.46927,0.2043,11.9196,11.7319,0.0152,15,Circle
1,1.05,0.49427,0.18679,12.5546,12.3569,0.0139,15,Circle
1,1.1,0.51927,0.25392,13.1895,12.9818,0.0189,15,Circle
1,1.15,0.54427,0.20946,13.8245,13.6068,0.0156,15,Circle
1,1.2,0.56927,0.24615,14.4596,14.2319,0.0183,15,Circle
1,1.25,0.59427,0.20979,15.0946,14.8568,0.0156,15,Circle
1,1.3,0.61927,0.26713,15.7295,15.4818,0.0199,15,Circle
1,1.35,0.64427,0.23507,16.3645,16.1068,0.0175,15,Circle
1,1.4,0.66927,0.22425,16.9995,16.7318,0.0167,15,Circle
1,1.45,0.69427,0.28646,17.6346,17.3569,0.0214,15,Circle
1,1.5,0.71927,0.33745,18.2695,17.9818,0.0252,15,Circle
1,1.55,0.74427,0.35657,18.9045,18.6068,0.0266,15,Circle
1,1.6,0.76927,0.39036,19.5396,19.2319,0.0291,15,Circle
1,1.65,0.79427,0.4033,20.1746,19.8568,0.0301,15,Circle
1,1.7,0.81927,0.33565,20.8095,20.4818,0.025,15,Circle
1,1.75,0.84427,0.35948,21.4445,21.1068,0.0268,15,Circle
1,1.8,0.86927,0.43252,22.0795,21.7318,0.0322,15,Circle
1,1.85,0.89427,0.48666,22.7146,22.3569,0.0363,15,Circle
1,1.9,0.91927,0.52986,23.3496,22.9819,0.0395,15,Circle
1,1.95,0.94427,0.39915,23.9845,23.6068,0.0298,15,Circle
1,2,0.96927,0.45495,24.6195,24.2318,0.0339,15,Circle
1,2.05,0.99427,0.45779,25.2546,24.8569,0.0341,15,Circle
1,2.1,1.01927,0.46968,25.8896,25.4819,0.035,15,Circle
1,2.15,1.04427,0.41289,26.5245,26.1068,0.0308,15,Circle
1,2.2,1.06927,0.45666,27.1595,26.7318,0.034,15,Circle
