time_s,pull_point_y_m,displacement_m,displacement_in,applied_force_n,applied_force_lbf,target_pull_y_m,commanded_displacement_m,commanded_displacement_in,base_center_y_m,base_bottom_y_m,base_top_y_m
0.0,0.36798455479950953,-0.00022369985808279313,-0.00880708102688162,8.103020080516023,1.821631380218884,0.3682082546575923,0.0,0.0,-0.0003154401192627908,-0.0765154402192628,0.07588455998073722
0.004166666666666667,0.36765958915214925,-0.00054866550544308,-0.021601004151302363,16.972224922535645,3.8155079468907176,0.3683140879909257,0.00010583333333333332,0.004166666666666667,-0.0006403964389718707,-0.07684039653897189,0.07555960366102814
0.008333333333333333,0.36746945523239133,-0.0007387994252009977,-0.02908659154334637,24.243503429691646,5.450156383070204,0.368419921324259,0.00021166666666666664,0.008333333333333333,-0.000829178937276814,-0.07702917903727682,0.0753708211627232
0.0125,0.36379819070047476,-0.0044100639571175715,-0.17362456524084927,7.636597353884475,1.7167753800070253,0.36852575465759235,0.0003175,0.0125,-0.0009837411510033025,-0.07718374125100332,0.07521625894899671
0.016666666666666666,0.3358739237170901,-0.032334330940502254,-1.273005155137884,26.09381639697012,5.866123285648302,0.36863158799092566,0.0004233333333333333,0.016666666666666666,0.0018502004107770927,-0.07434979968922292,0.0780502005107771
0.020833333333333332,0.2729698394383477,-0.09523841521924464,-3.749543906269474,-230.68613941722484,-51.86030719020556,0.368737421324259,0.0005291666666666666,0.020833333333333332,0.002670787124788144,-0.07352921297521187,0.07887078722478816
0.025,0.19939022018156227,-0.16881803447603005,-6.646379310079924,444.79589350286585,99.99409471359942,0.3688432546575923,0.000635,0.025,0.00915873413872455,-0.06704126596127546,0.08535873423872456
0.029166666666666667,0.31619311706048836,-0.052015137597103966,-2.047840062878109,-505.7952814937638,-113.70730265758003,0.3689490879909257,0.0007408333333333334,0.02916666666666667,0.01968086003054756,-0.05651914006945245,0.09588086013054757
0.03333333333333333,0.2397357812373524,-0.12847247342023993,-5.057971394497636,-417.58790752645547,-93.87749614236299,0.369054921324259,0.0008466666666666666,0.03333333333333333,0.04921042607305043,-0.026989574026949584,0.12541042617305043
0.0375,0.3638416602994236,-0.004366594358168718,-0.17191316370742987,-1875.6224901123346,-421.6567096567441,0.36916075465759235,0.0009524999999999999,0.0375,0.06675420369091334,-0.009445796409086674,0.14295420379091334
0.041666666666666664,0.2889046298573067,-0.07930362480028563,-3.122189952767151,-726.6898818440293,-163.3663842988201,0.36926658799092565,0.0010583333333333332,0.041666666666666664,0.09837927469300471,0.0221792745930047,0.17457927479300472
0.04583333333333333,0.41455229173710983,0.04634403707951751,1.8245683889573823,-2167.8694892927024,-487.35644866662915,0.369372421324259,0.0011641666666666664,0.04583333333333332,0.11746483512859958,0.04126483502859957,0.1936648352285996
