time_s,commanded_displacement_in,measured_displacement_in,displacement_along_dir_in,vertical_displacement_in,measured_pull_force_n,measured_pull_force_lbf,measured_vertical_force_lbf,reaction_force_x_n,reaction_force_y_n,reaction_force_z_n,target_x_m,target_y_m,target_z_m,pull_point_x_m,pull_point_y_m,pull_point_z_m,base_bottom_y_m,pull_angle_deg,pull_height_in,force_stop_threshold_lbf,grain_size_in
0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,-0.46585850544152047,1.817105813048636,2.072241873555254,0.21364493957102948,7.918956475167987e-06,0.36831439512825076,-4.934065311235451e-07,7.918956475167987e-06,0.36831439512825076,-4.934065311235451e-07,-0.07618560367964863,0.0,17.5,500.0,0.8
0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.0,-0.44248122768316367,1.7140577802701937,1.9682545613247167,0.2197909506608793,7.918956475167987e-06,0.36842022846158407,-4.934065311235451e-07,7.918956475167987e-06,0.36842022846158407,-4.934065311235451e-07,-0.0760797703463153,0.0,17.5,500.0,0.8
0.0125,0.0125,0.0125,0.0125,0.0125,0.0,0.0,-0.43356293418490693,1.6757888757537895,1.928584015414585,0.224055802016636,7.918956475167987e-06,0.3685260617949174,-4.934065311235451e-07,7.918956475167987e-06,0.3685260617949174,-4.934065311235451e-07,-0.07597393701298197,0.0,17.5,500.0,0.8
0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,-0.4403536584801023,1.7061596789836233,1.9587906620077087,0.22588354039978148,7.918956475167987e-06,0.36863189512825073,-4.934065311235451e-07,7.918956475167987e-06,0.36863189512825073,-4.934065311235451e-07,-0.07586810367964864,0.0,17.5,500.0,0.8
0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,-0.44640856842229015,1.7337996636812147,1.9857242432909696,0.22707525432146264,7.918956475167987e-06,0.3687377284615841,-4.934065311235451e-07,7.918956475167987e-06,0.3687377284615841,-4.934065311235451e-07,-0.0757622703463153,0.0,17.5,500.0,0.8
0.024999999999999998,0.024999999999999998,0.024999999999999998,0.024999999999999998,0.024999999999999998,0.0,0.0,-0.45098762353028754,1.7555444401831974,2.0060928951998065,0.23063247353754404,7.918956475167987e-06,0.3688435617949174,-4.934065311235451e-07,7.918956475167987e-06,0.3688435617949174,-4.934065311235451e-07,-0.07565643701298197,0.0,17.5,500.0,0.8
0.029166666666666664,0.029166666666666664,0.029166666666666664,0.029166666666666664,0.029166666666666664,0.0,0.0,-0.45048373395232527,1.7571159222748762,2.003851482687413,0.23274410718648325,7.918956475167987e-06,0.36894939512825076,-4.934065311235451e-07,7.918956475167987e-06,0.36894939512825076,-4.934065311235451e-07,-0.07555060367964864,0.0,17.5,500.0,0.8
0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,-0.4566282867675823,1.7860705871015305,2.031183815336314,0.23380153960780012,7.918956475167987e-06,0.36905522846158406,-4.934065311235451e-07,7.918956475167987e-06,0.36905522846158406,-4.934065311235451e-07,-0.0754447703463153,0.0,17.5,500.0,0.8
0.0375,0.0375,0.0375,0.0375,0.0375,0.0,0.0,-0.45471624218859497,1.780942495829842,2.022678617310732,0.2338711127177245,7.918956475167987e-06,0.3691610617949174,-4.934065311235451e-07,7.918956475167987e-06,0.3691610617949174,-4.934065311235451e-07,-0.07533893701298197,0.0,17.5,500.0,0.8
0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,-0.4542815480346673,1.7846019232552957,2.020745001379206,0.23247673001419558,7.918956475167987e-06,0.3692668951282507,-4.934065311235451e-07,7.918956475167987e-06,0.3692668951282507,-4.934065311235451e-07,-0.07523310367964864,0.0,17.5,500.0,0.8
