time_s,commanded_displacement_in,displacement_along_dir_in,vertical_displacement_in,applied_force_total_n,applied_force_total_lbf,applied_force_vertical_lbf,target_x_m,target_y_m,target_z_m,pull_point_x_m,pull_point_y_m,pull_point_z_m,base_bottom_y_m,pull_angle_deg,pull_height_in,pull_force_lbf_cap,grain_size_in
0.004166666666666667,0.0,-0.008803832638783303,-0.008803832638783303,8.28475560829575,1.862487152142765,1.817838184911879,7.918956475167987e-06,0.3682085617949174,-4.934065311235451e-07,2.5732979511682176e-05,0.3679849444458923,-8.064973492682946e-07,-0.07651505103067442,0.0,17.5,500.0,0.8
0.008333333333333333,0.004166666666666667,-0.02155875285830658,-0.02155875285830658,17.09558355986612,3.843240071771238,3.8152468967611006,7.918956475167987e-06,0.36831439512825076,-4.934065311235451e-07,3.9498143196923564e-05,0.3676609694723164,9.067916500876818e-07,-0.07683901696899588,0.0,17.5,500.0,0.8
0.0125,0.008333333333333333,-0.02867499046213594,-0.02867499046213594,24.346654139724276,5.473345585172654,5.43279081080535,7.918956475167987e-06,0.36842022846158407,-4.934065311235451e-07,-3.680791949564155e-05,0.36748021703717915,-6.507122836607853e-06,-0.0770183352742668,0.0,17.5,500.0,0.8
0.016666666666666666,0.0125,-0.1736671387095476,-0.1736671387095476,58.06802373219331,13.054211043140095,1.4440084126385824,7.918956475167987e-06,0.3685260617949174,-4.934065311235451e-07,0.05256016964835865,0.3637974164716949,0.000691739347880744,-0.07715700243445396,0.0,17.5,500.0,0.8
0.020833333333333332,0.016666666666666666,-0.9856082808262036,-0.9856082808262036,139.66501417131263,31.397944223899316,5.65420512458475,7.918956475167987e-06,0.36863189512825073,-4.934065311235451e-07,0.01976722956353497,0.34317411146193183,0.1336572932546124,-0.07567832361011559,0.0,17.5,500.0,0.8
0.024999999999999998,0.020833333333333332,-0.6850000326812024,-0.6850000326812024,1004.7957486686795,225.88707028957907,-19.154771762265327,7.918956475167987e-06,0.3687377284615841,-4.934065311235451e-07,0.11687268950996327,0.35080956096481486,0.10192074344623472,-0.07318537807979822,0.0,17.5,500.0,0.8
0.029166666666666664,0.024999999999999998,-1.7741554766747754,-1.7741554766747754,1631.6218043359725,366.803173371685,2.7260363313704175,7.918956475167987e-06,0.3688435617949174,-4.934065311235451e-07,0.0488633869390765,0.3231450126873781,0.23424985752415345,-0.06465271615671969,0.0,17.5,500.0,0.8
0.03333333333333333,0.029166666666666664,-0.3506681833526552,-0.3506681833526552,1410.83013749689,317.16723210430354,-138.3406992629948,7.918956475167987e-06,0.36894939512825076,-4.934065311235451e-07,0.12201530166289343,0.35930158993775996,0.16290326070156572,-0.06057483545854084,0.0,17.5,500.0,0.8
0.0375,0.03333333333333333,-0.8683807492016944,-0.8683807492016944,584.8937456039034,131.4893447750138,-19.017682199339717,7.918956475167987e-06,0.36905522846158406,-4.934065311235451e-07,0.2399557462607034,0.34615169076519436,0.04947990773221407,-0.050869916413844224,0.0,17.5,500.0,0.8
0.041666666666666664,0.0375,0.5231822595858782,0.5231822595858782,1650.3078032693852,371.0039530426732,-165.13639800599046,7.918956475167987e-06,0.3691610617949174,-4.934065311235451e-07,0.13327183398220668,0.3814973911883987,0.08372796911203916,-0.04794691542154631,0.0,17.5,500.0,0.8
0.04583333333333333,0.041666666666666664,-0.5548882682248786,-0.5548882682248786,1381.6440049558623,310.60592849457856,-14.256569081591273,7.918956475167987e-06,0.3692668951282507,-4.934065311235451e-07,0.24993929760285177,0.3541143997820055,-0.02362172057397326,-0.03776868274941395,0.0,17.5,500.0,0.8
0.049999999999999996,0.04583333333333332,-0.4714238793868972,-0.4714238793868972,1006.8677933195911,226.3528844576065,-195.76935836741848,7.918956475167987e-06,0.3693727284615841,-4.934065311235451e-07,0.26198425241438994,0.3562343952584902,-0.011249211492888194,-0.03286462478484453,0.0,17.5,500.0,0.8
0.05416666666666666,0.049999999999999996,-0.48177799690236683,-0.48177799690236683,1037.3840102487138,233.2132029328529,4.728216556069921,7.918956475167987e-06,0.3694785617949174,-4.934065311235451e-07,0.2775613455775931,0.3559714006735973,-0.05528443699385108,-0.015982486478224485,0.0,17.5,500.0,0.8
0.05833333333333333,0.05416666666666666,-3.7623838534792404,-3.7623838534792404,1305.9089495111193,293.58001072442596,-290.8114793885376,7.918956475167987e-06,0.36958439512825075,-4.934065311235451e-07,0.3615455775748332,0.2726440119165447,-0.06593386946362667,-0.0008809236553345839,0.0,17.5,500.0,0.8
0.06249999999999999,0.05833333333333333,-0.018954898063088185,-0.018954898063088185,763.7298830264261,171.69330781705747,-122.45255380538734,7.918956475167987e-06,0.36969022846158406,-4.934065311235451e-07,0.282901760784167,0.36772710738411496,-0.06821879935561993,-0.004226779767706815,0.0,17.5,500.0,0.8
0.06666666666666667,0.06249999999999999,-3.408546163651217,-3.408546163651217,1539.1808721645225,346.0216251110425,117.66834903576188,7.918956475167987e-06,0.3697960617949174,-4.934065311235451e-07,0.3781475826321414,0.2816314892381765,-0.077243691046852,0.007625737544874278,0.0,17.5,500.0,0.8
