time_s,commanded_displacement_in,measured_displacement_in,displacement_along_dir_in,vertical_displacement_in,measured_pull_force_n,measured_pull_force_lbf,measured_vertical_force_lbf,reaction_force_x_n,reaction_force_y_n,reaction_force_z_n,target_x_m,target_y_m,target_z_m,pull_point_x_m,pull_point_y_m,pull_point_z_m,base_bottom_y_m,pull_angle_deg,pull_height_in,force_stop_threshold_lbf,grain_size_in
0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,-0.0039411096460650625,15.324253179060692,3.445029160981449,2.7538402314006567,15.324253179060692,12.249691642274604,0.2993132629978902,0.00010784462009848316,0.36810638434121706,1.794319074251497e-06,0.00010784462009848316,0.36810638434121706,1.794319074251497e-06,-0.07639359626992895,0.0,17.5,500.0,0.8
0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,-0.004110080475121619,14.027953497377641,3.1536093996014163,2.64004808240102,14.027953497377641,11.743518945448127,0.30368506401524464,0.000212797309978596,0.368102092482159,1.841561483479377e-06,0.000212797309978596,0.368102092482159,1.841561483479377e-06,-0.07639787115236553,0.0,17.5,500.0,0.8
0.0125,0.0125,0.0125,0.0125,-0.004181458629704944,12.67099387130026,2.848552740233589,2.567591233832356,12.67099387130026,11.421214825471754,0.2547115020295297,0.00031858524919444473,0.3681002794770326,1.7663060516465186e-06,0.00031858524919444473,0.3681002794770326,1.7663060516465186e-06,-0.07639966384646217,0.0,17.5,500.0,0.8
0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,-0.004224901798843566,10.960727388159293,2.464069539739314,2.4947924261051426,10.960727388159293,11.097389595374787,0.19902048898908747,0.00042630500759704515,0.3680991760205365,1.7539669759837786e-06,0.00042630500759704515,0.3680991760205365,1.7539669759837786e-06,-0.07640074800733312,0.0,17.5,500.0,0.8
0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,-0.004695228144504043,11.452886177066736,2.5747112369109724,2.474462484247932,11.452886177066736,11.00695750856867,-0.0596933228416876,0.0005324976837951937,0.3680872297313567,1.1142223168496726e-06,0.0005324976837951937,0.3680872297313567,1.1142223168496726e-06,-0.07641268802274005,0.0,17.5,500.0,0.8
0.024999999999999998,0.024999999999999998,0.024999999999999998,0.024999999999999998,-0.004967520332231886,1.9600562533655215,0.4406381747356487,0.45685762215913117,1.9600562533655215,2.0322039499821445,-0.16198723809144103,0.0006384346929598724,0.3680803135097884,6.571121788310528e-07,0.0006384346929598724,0.3680803135097884,6.571121788310528e-07,-0.07641960438617872,0.0,17.5,500.0,0.8
0.029166666666666664,0.029166666666666664,0.029166666666666664,0.029166666666666664,-0.005031208275427574,0.4107775541754769,0.09234646780339195,0.0181299104149334,0.4107775541754769,-0.08064585939033936,0.2971994011728273,0.0007425681382186829,0.36807869583603126,5.472446179947309e-07,0.0007425681382186829,0.36807869583603126,5.472446179947309e-07,-0.07642122176772562,0.0,17.5,500.0,0.8
0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,-0.004997731749602318,0.9880064788606854,0.22211269228862315,0.23152068772771037,0.9880064788606854,1.0298553275290514,-0.08456323976230694,0.0008492242293996545,0.3680795461397872,6.217625377064158e-07,0.0008492242293996545,0.3680795461397872,6.217625377064158e-07,-0.07642037149266896,0.0,17.5,500.0,0.8
0.0375,0.0375,0.0375,0.0375,-0.005014309495810031,0.5142364230987688,0.11560494678035864,0.10790067606175999,0.5142364230987688,0.47996611955852386,-0.04943758096848948,0.0009544666242095802,0.36807912506503354,6.09580345408852e-07,0.0009544666242095802,0.36807912506503354,6.09580345408852e-07,-0.07642079239657792,0.0,17.5,500.0,0.8
0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,-0.005010739638478154,0.6922415448987773,0.1556220900786053,0.1344971772952654,0.6922415448987773,0.5982732512355527,-0.05295181332258868,0.0010606191087853647,0.36807921573940977,6.189450396800105e-07,0.0010606191087853647,0.36807921573940977,6.189450396800105e-07,-0.07642070171196359,0.0,17.5,500.0,0.8
